,
MEC,Pénalité de méconduite
MPM,Méconduite pour le match
PM,Pénalité de match
ANT,Attitude antisportive
SUR,Changement illégal
EQU,Équipement non conforme
JEU,Retard de jeu
BAG,Altercation
PM,Blessure / tentative
INC,Charge
CBA,Charge dans la balustrade
DOS,Charge dans le dos
CRO,Charge avec la crosse
HAU,Crosse haute
PIQ,Piquage
CIN,Cinglage
DUR,Dureté excessive
RET,Retenir
ACC,Accrocher
TRE,Faire trébucher
GEN,Coup de genou
COU,Coup de coude
OBS,Obstruction
BRI,Crosse brisée
JET,Jet de crosse
